"Name","State","Tags","Created","batch_size","epochs","hidden_size","learning_rate","avg_accuracy","avg_f1_macro","avg_f1_weighted","avg_loss","avg_precision_macro","avg_precision_weighted","avg_recall_macro","avg_recall_weighted","avg_roc_auc_ovo","avg_roc_auc_ovr"
"AVG_bs(128)_lr(0.001)_hs(98)_e(80)","finished","","2025-06-04T10:00:04.000Z","128","80","98","0.001","0.5402253097645053","0.41207090591007595","0.5727720489524989","1.1308383695457291","0.3931324480204498","0.6908632793959635","0.6127265983330894","0.5402253097645053","0.90380235947592","0.8781206821109743"
"AVG_bs(256)_lr(0.001)_hs(98)_e(30)","finished","","2025-06-04T13:12:34.000Z","256","30","98","0.001","0.5401306266624093","0.4020591234506904","0.5726468298899771","1.152091923664356","0.3909167915515981","0.6897062875781728","0.5973304994428967","0.5401306266624093","0.8976273673480479","0.8740701161734229"
"AVG_bs(32)_lr(0.0001)_hs(98)_e(80)","finished","","2025-06-04T00:08:24.000Z","32","80","98","0.0001","0.550998295643114","0.4206212311777842","0.5726399574805762","1.237552818319072","0.39563823733856895","0.6772394800809898","0.58269241341623","0.550998295643114","0.8951020724776477","0.871677989675575"
"AVG_bs(64)_lr(0.0001)_hs(98)_e(80)","finished","","2025-06-04T06:38:13.000Z","64","80","98","0.0001","0.5448089725427051","0.40008899547015886","0.5713152675575148","1.1785443677850391","0.3789920146099247","0.6829092537806964","0.6094989095900692","0.5448089725427051","0.8984310704564699","0.8719814868895295"
"AVG_bs(128)_lr(0.0001)_hs(98)_e(80)","finished","","2025-06-04T10:58:43.000Z","128","80","98","0.0001","0.5381993070835611","0.3954478229726316","0.5664889329685494","1.152091535018838","0.3747293762283206","0.6830520186596123","0.6065417719565233","0.5381993070835611","0.8986122178366627","0.8706581500325024"
"AVG_bs(32)_lr(0.0001)_hs(49)_e(80)","finished","","2025-06-03T23:19:55.000Z","32","80","49","0.0001","0.5393413233194427","0.4078075931368974","0.5629126217824759","1.2787691775936147","0.3837797330275852","0.6666345233850255","0.5705735590934319","0.5393413233194427","0.8860344788151278","0.8618609999547854"
"AVG_bs(128)_lr(0.001)_hs(49)_e(80)","finished","","2025-06-04T09:39:55.000Z","128","80","49","0.001","0.5311942263869891","0.40079655023802446","0.5619558673604883","1.1826800685343533","0.3872461499460904","0.6893912374689363","0.593946854106844","0.5311942263869891","0.8953927180220967","0.8724380198705882"
"AVG_bs(256)_lr(0.0001)_hs(98)_e(80)","finished","","2025-06-04T14:07:48.000Z","256","80","98","0.0001","0.5337508458886205","0.3883808957856759","0.5619154500020059","1.1556693790287806","0.36698060680152544","0.6760274859890116","0.5988155337348325","0.5337508458886205","0.8946772700149926","0.866401028361571"
"AVG_bs(64)_lr(0.0001)_hs(49)_e(80)","finished","","2025-06-04T06:08:52.000Z","64","80","49","0.0001","0.5378318565816886","0.3815646293727296","0.5604832214589156","1.2350581858728245","0.3602498213194406","0.6679342248927141","0.5813569533648343","0.5378318565816886","0.8888132905105974","0.8589790364592469"
"AVG_bs(128)_lr(0.001)_hs(98)_e(50)","finished","","2025-06-04T09:50:18.000Z","128","50","98","0.001","0.523822072577891","0.398426839069942","0.5586083197542842","1.156826580296392","0.38233376889877935","0.6883028509174688","0.6058060312949886","0.523822072577891","0.9009886704283426","0.8752540584666116"
