"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","fold","hidden_size","learning_rate","accuracy","f1_macro","f1_weighted","loss","precision_macro","precision_weighted","recall_macro","recall_weighted","roc_auc_ovo","roc_auc_ovr"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(100)_fold(5)","finished","-","","","2025-05-29T02:50:34.000Z","72","","512","100","5","98","0.00001","0.36609085963003263","0.22303183490265668","0.40755022365221344","1.9605011570042576","0.23791378416854003","0.5661105434205341","0.4166144092282364","0.36609085963003263","0.7696037292372226","0.7363075755316325"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(100)_fold(4)","finished","-","","","2025-05-29T02:49:22.000Z","71","","512","100","4","98","0.00001","0.3920021762785637","0.23911564390996157","0.42261034841783857","1.933154529538648","0.3006397669749385","0.595487559156318","0.4543195404503371","0.3920021762785637","0.7938988752297232","0.7534277410985571"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(100)_fold(3)","finished","-","","","2025-05-29T02:48:09.000Z","71","","512","100","3","98","0.00001","0.3685821149268956","0.2270045168884456","0.4064619070086263","1.9389295002509808","0.23941084137154192","0.566038968754163","0.4466022656059965","0.3685821149268956","0.7847825682204085","0.7480762772783778"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(100)_fold(2)","finished","-","","","2025-05-29T02:46:55.000Z","73","","512","100","2","98","0.00001","0.3800068004080245","0.23468096880191008","0.4219646742186943","1.95272014469936","0.3181628492902556","0.6161035240873578","0.44458181745340775","0.3800068004080245","0.7704053741327315","0.7293484464565629"
"TFG_MUL_bs(512)_lr(1e-05)_hs(98)_e(100)_fold(1)","finished","-","","","2025-05-29T02:45:43.000Z","71","","512","100","1","98","0.00001","0.39102346140768446","0.23961851710511928","0.4250312157568935","1.9354375477494865","0.35357156576640264","0.628918458557749","0.4566088120777709","0.39102346140768446","0.7850682785698472","0.7478865925389009"
"TFG_MUL_bs(512)_lr(1e-05)_hs(49)_e(100)_fold(5)","finished","-","","","2025-05-29T02:44:29.000Z","69","","512","100","5","49","0.00001","0.3643226332970621","0.2218477393911017","0.4134573459745709","2.0000436264893104","0.2366918827106988","0.557378630665709","0.4130926568925631","0.3643226332970621","0.7605329974211725","0.7251707952961559"
"TFG_MUL_bs(512)_lr(1e-05)_hs(49)_e(100)_fold(4)","finished","-","","","2025-05-29T02:43:18.000Z","70","","512","100","4","49","0.00001","0.3186887921653972","0.20168673377431137","0.3647241529873677","1.983978608558918","0.27132275293093655","0.5694154687523388","0.4295747970552712","0.3186887921653972","0.7819456448011596","0.7420781101170922"
"TFG_MUL_bs(512)_lr(1e-05)_hs(49)_e(100)_fold(3)","finished","-","","","2025-05-29T02:42:06.000Z","70","","512","100","3","49","0.00001","0.3037742264535872","0.1856299901859616","0.3220205173617827","1.9759862381836464","0.2246086245049629","0.5257737003761467","0.4241267718735824","0.3037742264535872","0.7851712376586648","0.7453941062347597"
"TFG_MUL_bs(512)_lr(1e-05)_hs(49)_e(100)_fold(2)","finished","-","","","2025-05-29T02:40:51.000Z","74","","512","100","2","49","0.00001","0.31921115266916017","0.20205340160610324","0.3561169023075181","1.9843572049305356","0.2854558806773074","0.59345566184251","0.42421402776473743","0.31921115266916017","0.7679213831125439","0.7213439161538456"
"TFG_MUL_bs(512)_lr(1e-05)_hs(49)_e(100)_fold(1)","finished","-","","","2025-05-29T02:39:38.000Z","72","","512","100","1","49","0.00001","0.3532131927915675","0.21401659676204057","0.3976511535907066","1.9872602470989884","0.2196763755171504","0.522431074921881","0.419050869582027","0.3532131927915675","0.769931978726648","0.7367872461748469"
"TFG_MUL_bs(512)_lr(1e-05)_hs(25)_e(100)_fold(5)","finished","-","","","2025-05-29T02:38:23.000Z","70","","512","100","5","25","0.00001","0.12180359085963004","0.11474734547849973","0.1138246962668121","2.0396334138409844","0.14617546103985482","0.22650208948292017","0.36246006958709104","0.12180359085963004","0.7410301371355206","0.6836802559741256"
"TFG_MUL_bs(512)_lr(1e-05)_hs(25)_e(100)_fold(4)","finished","-","","","2025-05-29T02:37:14.000Z","68","","512","100","4","25","0.00001","0.3616022850924918","0.2173612897606031","0.3489696702136369","2.0486414185885726","0.2681105281482834","0.5368615729545743","0.42742903210703415","0.3616022850924918","0.7644691819190172","0.7442264843518659"
"TFG_MUL_bs(512)_lr(1e-05)_hs(25)_e(100)_fold(3)","finished","-","","","2025-05-29T02:36:04.000Z","69","","512","100","3","25","0.00001","0.32968378102686163","0.18747814077143315","0.35037252272895486","2.036431814062184","0.26134145261005914","0.5583108253857847","0.41840281469894464","0.32968378102686163","0.7671718507782987","0.7304631475263426"
"TFG_MUL_bs(512)_lr(1e-05)_hs(25)_e(100)_fold(2)","finished","-","","","2025-05-29T02:34:55.000Z","68","","512","100","2","25","0.00001","0.24427065623937436","0.16618235506221227","0.268518697514489","2.065472800156166","0.3131599198860488","0.5939550240163066","0.4046025478818255","0.24427065623937436","0.7477073815451276","0.7199943309251307"
"TFG_MUL_bs(512)_lr(1e-05)_hs(25)_e(100)_fold(1)","finished","-","","","2025-05-29T02:33:45.000Z","69","","512","100","1","25","0.00001","0.28874532471948317","0.16782266745885643","0.29050724611689704","2.0580463244997222","0.2618416705471598","0.5353333079991451","0.36261723768440973","0.28874532471948317","0.7569029540606734","0.7236933447700813"
"TFG_MUL_bs(512)_lr(0.0001)_hs(98)_e(100)_fold(5)","finished","-","","","2025-05-29T02:32:29.000Z","71","","512","100","5","98","0.0001","0.5367927094668118","0.34930225828349176","0.5432477617201894","1.8622684519866417","0.3505311919024274","0.6417113163817408","0.5177660929787327","0.5367927094668118","0.7814808758483819","0.7578837195212912"
"TFG_MUL_bs(512)_lr(0.0001)_hs(98)_e(100)_fold(4)","finished","-","","","2025-05-29T02:31:16.000Z","72","","512","100","4","98","0.0001","0.5201305767138193","0.33249083018185144","0.5236776121173959","1.829794739854747","0.34516324121670805","0.6301043519046625","0.5470038422996177","0.5201305767138193","0.8132504910664524","0.7838619583159768"
"TFG_MUL_bs(512)_lr(0.0001)_hs(98)_e(100)_fold(3)","finished","-","","","2025-05-29T02:30:04.000Z","71","","512","100","3","98","0.0001","0.5590615436926215","0.3508768854471534","0.551611217389818","1.8424373947340864","0.4119207127624333","0.6547114938611127","0.5429525518048928","0.5590615436926215","0.7987456411616674","0.7781144866646263"
