"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","fold","hidden_size","learning_rate","accuracy","f1","f2","false_negatives","false_positives","loss","precision","recall","roc_auc","specificity","true_negatives","true_positives"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(30)_fold(5)","finished","-","","","2025-05-23T04:23:41.000Z","583","","20000","30","5","98","0.0001","0.9855434310108452","0.7865371955233706","0.6985208138447146","5146","42","0.07205738582544857","0.995625","0.6500272034820457","0.9654529873221108","0.9998779651561464","344122","9558"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(30)_fold(4)","finished","-","","","2025-05-23T04:13:50.000Z","590","","20000","30","4","98","0.0001","0.9858862147468852","0.7925285708434031","0.7058428671491945","5031","34","0.07057524472475052","0.996497733827771","0.6578714722883373","0.9685001173756226","0.9999012098883092","344130","9674"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(30)_fold(3)","finished","-","","","2025-05-23T04:04:17.000Z","572","","20000","30","3","98","0.0001","0.985607561533596","0.7873873132177993","0.6990410478306631","5141","24","0.07469393064578374","0.9974968710888612","0.6503910234614076","0.9616974145167368","0.9999302658035124","344140","9564"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(30)_fold(2)","finished","-","","","2025-05-23T03:54:27.000Z","589","","20000","30","2","98","0.0001","0.9851645029244654","0.7795445134575569","0.6894455431040797","5292","32","0.07513416103190845","0.9966119640021176","0.6401224073444407","0.9605609083491232","0.9999070210713497","344132","9413"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(30)_fold(1)","finished","-","","","2025-05-23T03:44:36.000Z","590","","20000","30","1","98","0.0001","0.9858416302327592","0.7917366889371644","0.7048708928753886","5046","35","0.07102590633763207","0.996389146806974","0.6568280739934712","0.969100006865586","0.999898304592274","344130","9658"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(20)_fold(5)","finished","-","","","2025-05-23T03:37:55.000Z","397","","20000","20","5","98","0.0001","0.959519934906428","0.024051058112193484","0.01517026289472346","14525","2","0.1247429247531626","0.988950276243094","0.012173558215451578","0.8919994666129134","0.9999941888169592","344162","179"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(20)_fold(4)","finished","-","","","2025-05-23T03:31:14.000Z","400","","20000","20","4","98","0.0001","0.9633375967274966","0.1909856730000615","0.12860644605651064","13152","5","0.112126378963391","0.996790757381258","0.1056103366201972","0.9050788918780136","0.9999854720423984","344159","1553"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(20)_fold(3)","finished","-","","","2025-05-23T03:24:33.000Z","400","","20000","20","3","98","0.0001","0.963198270120852","0.1855072463768116","0.1246477705950605","13201","6","0.11316613314880264","0.9960264900662252","0.1022781366882013","0.9035487526504064","0.999982566450878","344158","1504"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(20)_fold(2)","finished","-","","","2025-05-23T03:18:03.000Z","389","","20000","20","2","98","0.0001","0.9608938080469476","0.08799064205874707","0.05688788800564677","14028","6","0.1147863008081913","0.9912152269399708","0.04603876232573954","0.9041281218693884","0.999982566450878","344158","677"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(20)_fold(1)","finished","-","","","2025-05-23T03:11:30.000Z","392","","20000","20","1","98","0.0001","0.9618886000183912","0.13134328358208955","0.0863725211754682","13670","7","0.11627777417500812","0.9932756964457252","0.07032100108813928","0.8968934487432617","0.9999796609184548","344158","1034"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(10)_fold(5)","finished","-","","","2025-05-23T03:07:57.000Z","209","","20000","10","5","98","0.0001","0.9590267173445388","0","0","14704","0","0.18002228521638447","0","0","0.7232522628693011","1","344164","0"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(10)_fold(4)","finished","-","","","2025-05-23T03:04:30.000Z","206","","20000","10","4","98","0.0001","0.9590240449857748","0","0","14705","0","0.18756699644856983","0","0","0.7064225907284636","1","344164","0"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(10)_fold(3)","finished","-","","","2025-05-23T03:01:07.000Z","201","","20000","10","3","98","0.0001","0.9590240449857748","0","0","14705","0","0.17911368277337816","0","0","0.7165809556027948","1","344164","0"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(10)_fold(2)","finished","-","","","2025-05-23T02:57:45.000Z","201","","20000","10","2","98","0.0001","0.9590240449857748","0","0","14705","0","0.17900530497233072","0","0","0.7120287402737128","1","344164","0"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(98)_e(10)_fold(1)","finished","-","","","2025-05-23T02:54:14.000Z","209","","20000","10","1","98","0.0001","0.9590240449857748","0","0","14704","1","0.176761608156893","0","0","0.7336649540140892","0.999997094416922","344164","0"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(49)_e(30)_fold(5)","finished","-","","","2025-05-23T02:44:26.000Z","584","","20000","30","5","49","0.0001","0.9722014779807616","0.48772722604498303","0.3734312584531186","9955","21","0.0990621145400736","0.9955974842767296","0.3229733405875952","0.9278717415371944","0.9999389825780732","344143","4749"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(49)_e(30)_fold(4)","finished","-","","","2025-05-23T02:34:17.000Z","607","","20000","30","4","49","0.0001","0.9678852171683818","0.35646881456251045","0.25731974719463435","11513","12","0.10439529973599646","0.99625468164794","0.2170690241414485","0.9130323836503446","0.999965132901756","344152","3192"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(49)_e(30)_fold(3)","finished","-","","","2025-05-23T02:24:34.000Z","582","","20000","30","3","49","0.0001","0.9686570865691938","0.3813661863381366","0.27826380082507984","11238","10","0.10083991785844168","0.99712395743457","0.2357701462087725","0.9310451583418152","0.9999709440847968","344154","3467"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(49)_e(30)_fold(2)","finished","-","","","2025-05-23T02:14:42.000Z","591","","20000","30","2","49","0.0001","0.9680635552248872","0.3621793088096166","0.2620642999806713","11451","10","0.10353192190329234","0.996936274509804","0.221285277116627","0.920924617926373","0.9999709440847968","344154","3254"
"TFG_BIN_bs(20000)_lr(0.0001)_hs(49)_e(30)_fold(1)","finished","-","","","2025-05-23T02:04:51.000Z","590","","20000","30","1","49","0.0001","0.9657590931509826","0.2835820895522388","0.1984852441890833","12272","16","0.11034861124224132","0.9934640522875816","0.16539717083786726","0.9041065975634804","0.999953510670754","344149","2432"
