"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","hidden_size","learning_rate","avg_accuracy","avg_f1","avg_f2","avg_fn","avg_fp","avg_loss","avg_precision","avg_recall","avg_roc_auc","avg_specificity","avg_tn","avg_tp"
"AVG_bs(2000)_lr(0.001)_hs(49)_e(20)","finished","-","","","2025-05-20T13:36:22.000Z","1","","2000","20","49","0.001","0.9998066145566114","0.9976405503476796","0.9977423325620992","32.2","37.2","0.003666938686833924","0.9974710199228232","0.9978102140426576","0.9997332383632532","0.999891912061295","344127","14672.4"
"AVG_bs(20000)_lr(0.01)_hs(98)_e(30)","finished","-","","","2025-05-22T18:40:21.000Z","1","","20000","30","98","0.01","0.9997770772927084","0.9972788695999756","0.9971813746578668","42.4","37.6","0.0036311459067898495","0.997442113876474","0.9971165659493432","0.999721708838458","0.9998907498246868","344126.6","14662.2"
"AVG_bs(2000)_lr(0.001)_hs(98)_e(20)","finished","-","","","2025-05-20T14:49:43.000Z","2","","2000","20","98","0.001","0.9997820930707356","0.997340673047596","0.997304053473228","40","38.2","0.003627458974466814","0.9974022991697378","0.9972797886915654","0.99972043175938","0.9998890064731516","344126","14664.6"
"AVG_bs(15000)_lr(0.001)_hs(25)_e(20)","finished","-","","","2025-05-22T05:06:05.000Z","1","","15000","20","25","0.001","0.9988474897430054","0.9857540827148344","0.9789237225688096","376","37.6","0.012052580411545931","0.9973845123527016","0.974429918243408","0.9974477669847268","0.999890749828064","344126.6","14328.6"
"AVG_bs(10000)_lr(0.001)_hs(98)_e(30)","finished","-","","","2025-05-21T19:10:32.000Z","2","","10000","30","98","0.001","0.9998311360595692","0.9979406463421062","0.9982948108309128","21.6","39","0.003935625693540916","0.9973509998640177","0.998531077642678","0.9997768743209686","0.9998866820066894","344125.2","14683"
"AVG_bs(10000)_lr(0.01)_hs(25)_e(30)","finished","-","","","2025-05-21T10:26:55.000Z","2","","10000","30","25","0.01","0.9997848796152924","0.997374797128899","0.9973993295615896","38","39.2","0.003599493181617516","0.9973343959672204","0.9974158061017938","0.9997201913321464","0.9998861008782544","344125","14666.6"
"AVG_bs(20000)_lr(0.001)_hs(25)_e(30)","finished","-","","","2025-05-22T20:18:50.000Z","2","","20000","30","25","0.001","0.999162925220826","0.9897068648284824","0.9851865337488483","261.8","38.6","0.010183873099999297","0.9973342847600116","0.9821960036318176","0.998667987951159","0.9998878442331666","344125.6","14442.8"
"AVG_bs(20000)_lr(0.001)_hs(49)_e(20)","finished","-","","","2025-05-22T21:08:47.000Z","2","","20000","20","49","0.001","0.9988792557869164","0.986155328302209","0.9796099384651826","363.2","39","0.011993427491850322","0.9972853760344466","0.9753000744788972","0.9974558740126052","0.99988668199487","344125.2","14341.4"
"AVG_bs(10000)_lr(0.001)_hs(49)_e(10)","finished","-","","","2025-05-21T16:11:44.000Z","2","","10000","10","49","0.001","0.9984579324840496","0.980839331580551","0.9712769784368666","514.4","39","0.013447171387573084","0.9972581224726784","0.9650176512767044","0.9966716376582418","0.9998866819999356","344125.2","14190.2"
"AVG_bs(10000)_lr(0.01)_hs(98)_e(20)","finished","-","","","2025-05-21T13:11:03.000Z","1","","10000","20","98","0.01","0.999772061494492","0.997217983707389","0.9971977978329912","41.4","40.4","0.003614613850691563","0.9972524272674808","0.9971845404304236","0.9997115095512014","0.999882614175184","344123.8","14663.2"
"AVG_bs(15000)_lr(0.01)_hs(25)_e(10)","finished","-","","","2025-05-21T23:58:32.000Z","2","","15000","10","25","0.01","0.9998289068276508","0.9979136687050104","0.9983329473984036","20.4","41","0.0040516037610359495","0.9972157482068428","0.9986126862388676","0.9997672909499908","0.9998808708253372","344123.2","14684.2"
"AVG_bs(2000)_lr(0.001)_hs(49)_e(30)","finished","-","","","2025-05-20T14:11:55.000Z","2","","2000","30","49","0.001","0.99980048418126","0.9975662132316064","0.9977778426239066","30.6","41","0.0035881871125699643","0.9972138933575336","0.9979190279708404","0.9997146380629214","0.9998808708202718","344123.2","14674"
"AVG_bs(2000)_lr(0.001)_hs(98)_e(30)","finished","-","","","2025-05-20T15:29:11.000Z","2","","2000","30","98","0.001","0.9997614727422702","0.9970888845679952","0.9970156633466588","44.6","41","0.0036009201639293073","0.9972113139248308","0.9969669477230658","0.9997105236956724","0.9998808708118292","344123.2","14660"
"AVG_bs(10000)_lr(0.001)_hs(49)_e(30)","finished","-","","","2025-05-21T17:37:02.000Z","1","","10000","30","49","0.001","0.9998283495227774","0.9979069886600732","0.9983547467205376","19.8","41.8","0.004081816285421761","0.997161662652047","0.9986534868370668","0.99977991347518","0.999878546352121","344122.4","14684.8"
"AVG_bs(2000)_lr(0.01)_hs(98)_e(20)","finished","-","","","2025-05-20T11:05:41.000Z","2","","2000","20","98","0.01","0.99977429076834","0.997245656629664","0.9972986178949036","39.2","41.8","0.003702348579309829","0.9971583396905273","0.9973341632815708","0.9997121839936652","0.9998785463436786","344122.4","14665.4"
"AVG_bs(2000)_lr(0.001)_hs(25)_e(10)","finished","-","","","2025-05-20T11:57:00.000Z","2","","2000","10","25","0.001","0.9998188752995488","0.9977911967583102","0.998177886747356","23","42","0.004013283188364262","0.9971474464357356","0.9984358636055704","0.9997862837535664","0.999877965233817","344122.2","14681.6"
"AVG_bs(20000)_lr(0.01)_hs(49)_e(10)","finished","-","","","2025-05-22T15:41:41.000Z","2","","20000","10","49","0.01","0.999827792211692","0.997900213862137","0.9983601879314852","19.6","42.2","0.004036449743176086","0.9971345937280756","0.9986670885780894","0.9997654591144762","0.999877384115513","344122","14685"
"AVG_bs(2000)_lr(0.01)_hs(25)_e(10)","finished","-","","","2025-05-20T07:35:57.000Z","1","","2000","10","25","0.01","0.9997982549633184","0.9975391645297328","0.9977832846827176","30.2","42.2","0.003669592844768582","0.9971331188223804","0.9979462370027294","0.9997140754170964","0.9998773841205782","344122","14674.4"
"AVG_bs(15000)_lr(0.001)_hs(49)_e(20)","finished","-","","","2025-05-22T06:41:02.000Z","1","","15000","20","49","0.001","0.999237604375165","0.9906362055386224","0.9867862487125516","231.8","41.8","0.008057640170833717","0.9971201765297596","0.9842362361110546","0.9996694512228872","0.999878546348744","344122.4","14472.8"
