"Name","Notes","batch_size","epochs","hidden_size","learning_rate","avg_accuracy","avg_f1_macro","avg_f1_weighted","avg_loss","avg_precision_macro","avg_precision_weighted","avg_recall_macro","avg_recall_weighted","avg_roc_auc_ovo","avg_roc_auc_ovr"
"AVG_bs(256)_lr(0.01)_hs(512)_e(80)","Capa bn1 e hiperparámetros con valores altos","256","80","512","0.01","0.5102617565106137","0.38270819799865147","0.5444417415044083","1.1887310587126634","0.37006363492898425","0.6878319986959575","0.5888388797944517","0.5102617565106137","0.8961558808223298","0.8688065050895253"
"AVG_bs(32)_lr(1e-05)_hs(128)_e(30)","Con capa bn1","32","30","128","0.00001","0.44911146360838233","0.2883595622054106","0.467310279416352","1.5284476408751115","0.29733369020047284","0.5961325614980184","0.4803408083982035","0.44911146360838233","0.821827480518483","0.7939915197965719"
"AVG_bs(32)_lr(1e-05)_hs(128)_e(30)","Con capa bn1 y dropout","32","30","128","0.00001","0.44203864707399304","0.28499887352144504","0.4614142167725358","1.54840227458788","0.2928365399419175","0.5918732092319524","0.4745991083823259","0.44203864707399304","0.8147613383292184","0.7876959428906497"
"AVG_bs(32)_lr(1e-05)_hs(128)_e(30)","Con SMOTE y capa bn1","32","30","128","0.00001","0.28727098848999494","0.21372069659158616","0.36941493755465415","2.239745060600664","0.31009412611550613","0.611285291010614","0.4025961520059866","0.28727098848999494","0.7868533358497163","0.7530692310504782"
"AVG_bs(32)_lr(1e-05)_hs(128)_e(30)","Con SMOTE","32","30","128","0.00001","0.19974702611645273","0.09109558391679098","0.28288881034178337","3.1776314495439117","0.2088352775006705","0.5430084184071036","0.18369656172191023","0.19974702611645273","0.7024031882477839","0.6849906822822625"
