"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","epochs","hidden_size","learning_rate","avg_accuracy","avg_f1_macro","avg_f1_weighted","avg_loss","avg_precision_macro","avg_precision_weighted","avg_recall_macro","avg_recall_weighted","avg_roc_auc_ovo","avg_roc_auc_ovr"
"AVG_bs(512)_lr(0.001)_hs(25)_e(80)","finished","-","","","2025-05-28T11:47:50.000Z","3","","512","80","25","0.001","0.5140163069196557","0.34185083988930126","0.5212330671417724","1.837803584131701","0.3363948159827147","0.6383176368787887","0.5407635318549918","0.5140163069196557","0.7968240782760203","0.7720303491837106"
"AVG_bs(32)_lr(0.001)_hs(25)_e(100)","finished","-","","","2025-05-28T15:41:15.000Z","4","","32","100","25","0.001","0.498647306161547","0.3471350107336719","0.5204233487407592","1.8642102766036988","0.3374038878973561","0.6386432754924576","0.532695843159699","0.498647306161547","0.808582599427587","0.7744599131800359"
"AVG_bs(128)_lr(0.01)_hs(49)_e(30)","finished","-","","","2025-05-28T05:47:31.000Z","3","","128","30","49","0.01","0.5108067927492407","0.36006360322572784","0.5201632430143003","1.8457873479179712","0.35894722044352667","0.6530516476502604","0.5341415214340838","0.5108067927492407","0.7889013228579931","0.7646600211405721"
"AVG_bs(256)_lr(0.01)_hs(49)_e(100)","finished","-","","","2025-05-29T00:24:57.000Z","2","","256","100","49","0.01","0.4903237676850382","0.3561780769553022","0.519919832445254","1.8402196127792885","0.3618178685816793","0.6610838212684206","0.5387928077463224","0.4903237676850382","0.8022138543284767","0.7723710661311816"
"AVG_bs(32)_lr(0.01)_hs(49)_e(80)","finished","-","","","2025-05-27T18:26:33.000Z","2","","32","80","49","0.01","0.5068076820191366","0.3383688112399051","0.5194902711988354","1.8875624284018635","0.3477859028504583","0.6367419532170567","0.5059403854548304","0.5068076820191366","0.7723315217924157","0.7540938743122826"
"AVG_bs(512)_lr(0.01)_hs(25)_e(80)","finished","-","","","2025-05-28T11:15:52.000Z","2","","512","80","25","0.01","0.5043170732790213","0.36623794437320306","0.519349854824076","1.8392087517113525","0.3701342046507716","0.6550807123633744","0.5346672227799518","0.5043170732790213","0.7889574405105342","0.7671579122864685"
"AVG_bs(512)_lr(0.01)_hs(49)_e(80)","finished","-","","","2025-05-28T11:26:33.000Z","3","","512","80","49","0.01","0.503433743565419","0.369034313367952","0.5173837475875291","1.83369146051078","0.37037983930497304","0.6568647050516263","0.5398227591881148","0.503433743565419","0.794724508146347","0.7670366408744919"
"AVG_bs(32)_lr(0.0001)_hs(49)_e(30)","finished","-","","","2025-05-27T21:49:02.000Z","2","","32","30","49","0.0001","0.5082490410795704","0.3265930891213923","0.5167917606139675","1.88503293638644","0.3270466703334106","0.6220139158371414","0.5138754267327715","0.5082490410795704","0.786317646223919","0.7628016388410155"
"AVG_bs(64)_lr(0.0001)_hs(25)_e(50)","finished","-","","","2025-05-28T03:23:38.000Z","3","","64","50","25","0.0001","0.5076371653028235","0.3221266292384321","0.5167816084063436","1.8766149759292603","0.324205172302929","0.6236017772154852","0.5192140299157757","0.5076371653028235","0.7877833885912235","0.7664513442949048"
"AVG_bs(128)_lr(0.0001)_hs(25)_e(80)","finished","-","","","2025-05-28T07:15:19.000Z","3","","128","80","25","0.0001","0.5040054505011324","0.3270731970002531","0.5161903178647365","1.861324182385984","0.3294432063366099","0.6247080951109629","0.5227648051755314","0.5040054505011324","0.7965788714814155","0.7709371459098706"
"AVG_bs(32)_lr(0.01)_hs(98)_e(50)","finished","-","","","2025-05-27T18:47:15.000Z","2","","32","50","98","0.01","0.5064950778439525","0.33823937813662763","0.5159501922181078","1.8940779485391537","0.33918098913600925","0.6246914089233133","0.5012546501762227","0.5064950778439525","0.7596005221182212","0.7440519875929905"
"AVG_bs(64)_lr(0.01)_hs(98)_e(80)","finished","-","","","2025-05-28T02:03:47.000Z","2","","64","80","98","0.01","0.4993123882862787","0.353184643600711","0.5153567850233179","1.8532582651013911","0.3484643596932756","0.6528757847775679","0.5307838144860302","0.4993123882862787","0.7896398173108852","0.7571603211647895"
"AVG_bs(256)_lr(0.0001)_hs(25)_e(100)","finished","-","","","2025-05-29T01:02:06.000Z","2","","256","100","25","0.0001","0.5024415509000181","0.32220673778982856","0.5143445138385352","1.8567287613605632","0.33008112327244454","0.6301022307477493","0.526491697990187","0.5024415509000181","0.7973092065665282","0.7685885490133435"
"AVG_bs(32)_lr(0.01)_hs(25)_e(100)","finished","-","","","2025-05-28T14:23:40.000Z","2","","32","100","25","0.01","0.4905816901788863","0.33523265683031755","0.513240278430045","1.8884542463655056","0.34959109638340974","0.6425935243196659","0.5079886324488385","0.4905816901788863","0.7763932089898112","0.7561003680977058"
"AVG_bs(256)_lr(0.001)_hs(25)_e(100)","finished","-","","","2025-05-29T00:39:53.000Z","3","","256","100","25","0.001","0.4905278233995454","0.36494708316283064","0.5126135096438753","1.8288067649150712","0.35045406717376104","0.6468278900502697","0.5468863755168517","0.4905278233995454","0.8135262481959536","0.7807021659128395"
"AVG_bs(64)_lr(0.0001)_hs(98)_e(30)","finished","-","","","2025-05-28T04:01:44.000Z","2","","64","30","98","0.0001","0.5017479139063905","0.32050377028634636","0.5123172591967856","1.8726506103640017","0.32480366166862684","0.6245997903095705","0.5173061901327349","0.5017479139063905","0.7922590840981275","0.7634419681197977"
"AVG_bs(128)_lr(0.0001)_hs(49)_e(50)","finished","-","","","2025-05-28T07:23:06.000Z","2","","128","50","49","0.0001","0.5017748343464264","0.32052277946919516","0.5118438164670246","1.866793591250544","0.3295031114296273","0.6275704638169302","0.5183041488235729","0.5017748343464264","0.7938925480533098","0.7666407551325456"
"AVG_bs(512)_lr(0.0001)_hs(49)_e(100)","finished","-","","","2025-05-29T02:27:29.000Z","2","","512","100","49","0.0001","0.5010810724813238","0.31835452295672395","0.5104727946395858","1.8554658717122572","0.32294420695054554","0.6230276480281047","0.5240111650438801","0.5010810724813238","0.7972272749866496","0.7707792932623383"
"AVG_bs(256)_lr(0.0001)_hs(98)_e(50)","finished","-","","","2025-05-28T10:21:52.000Z","3","","256","50","98","0.0001","0.5015710089504173","0.3184959013137642","0.5101650708233769","1.8631601670692703","0.35136340141399386","0.6340620155198943","0.5167796798621564","0.5015710089504173","0.7885290760537582","0.7650891303022831"
"AVG_bs(128)_lr(0.001)_hs(25)_e(30)","finished","-","","","2025-05-28T06:18:06.000Z","3","","128","30","25","0.001","0.500578050406637","0.3329786298301488","0.5087219282537204","1.8592745907410333","0.33400428666469034","0.6398070440100608","0.5244336159536745","0.500578050406637","0.7950080760498561","0.7584782590886194"
"AVG_bs(32)_lr(0.01)_hs(49)_e(30)","finished","-","","","2025-05-27T17:54:37.000Z","3","","32","30","49","0.01","0.4893708549607645","0.33003759464949345","0.5080693980670928","1.8955775042720464","0.3331211512745552","0.6257140381901116","0.493322252355984","0.4893708549607645","0.7669111256723337","0.7389069425307387"
"AVG_bs(512)_lr(0.0001)_hs(98)_e(80)","finished","-","","","2025-05-28T12:41:31.000Z","2","","512","80","98","0.0001","0.4964434143524129","0.31586883529241466","0.5078570837251878","1.8541331126772125","0.3102023668708375","0.6201754633292055","0.5236978780850798","0.4964434143524129","0.795827587280967","0.7704405730065034"
"AVG_bs(512)_lr(0.001)_hs(25)_e(50)","finished","-","","","2025-05-28T11:42:43.000Z","3","","512","50","25","0.001","0.4882962646964476","0.32903328356867784","0.5078037139007413","1.871273123806921","0.3375941399280909","0.6286690723153432","0.5064612460136494","0.4882962646964476","0.7813380990027878","0.7699152073202068"
